"albumName";"albumMBID";"albumSpotID";"artistSpotID";"year"
"13";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6";"46fDgOnY2RavytWwL88x5M";"5M52tdBnJaKSvOpJGz8mfZ";"2013"
"13";"NULL";"7wWEckUcIr2KxslNdpsZXf";"5M52tdBnJaKSvOpJGz8mfZ";"2013"
"13";"NULL";"5WXL9YjbNd4GIqWc9mZOOq";"5M52tdBnJaKSvOpJGz8mfZ";"2013"
"13";"NULL";"6ZB7auKx2Mycboacj7EvRF";"5M52tdBnJaKSvOpJGz8mfZ";"2013"
"13 (Deluxe Version)";"NULL";"7qvF8sLZ24C5qO19Fj5YoA";"5M52tdBnJaKSvOpJGz8mfZ";"2013"
"13 (Deluxe Version)";"NULL";"4XQC97RRP7AmyF9mN4lav4";"5M52tdBnJaKSvOpJGz8mfZ";"2013"
"13 (Deluxe Version)";"NULL";"6HvZILEWdEOEYWu4UyhMAG";"5M52tdBnJaKSvOpJGz8mfZ";"2013"
"Black Sabbath";"NULL";"0dcakg8IGrksoofbSCCeTB";"5M52tdBnJaKSvOpJGz8mfZ";"1970"
"Black Sabbath";"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";"4ZLy3U2q17Yjw7jkjXPJQj";"5M52tdBnJaKSvOpJGz8mfZ";"1970"
"Black Sabbath (2009 Remastered Version)";"NULL";"2T6jeELx5BqH4GMLObBy10";"5M52tdBnJaKSvOpJGz8mfZ";"1970"
"Black Sabbath (Remastered Edition)";"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";"4ZLy3U2q17Yjw7jkjXPJQj";"5M52tdBnJaKSvOpJGz8mfZ";"1970"
"Born Again";"NULL";"0nfG16SkgyQ3bQwZyfzwzP";"5M52tdBnJaKSvOpJGz8mfZ";"1983"
"Born Again (Deluxe Edition)";"NULL";"3rdD2LHEFi6FxrhlBA3Dot";"5M52tdBnJaKSvOpJGz8mfZ";"1983"
"Born Again (US Release)";"52c37691-e97e-3959-98c8-8b9a533eaeda";"13jNXpmYnLC5oOyKOeps5n";"5M52tdBnJaKSvOpJGz8mfZ";"1983"
"Born Again Demos";"0a3342f6-59a4-4ee0-a81c-6d5d4900f118";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
"Children of the Grave";"19772a1c-ea39-4104-bc99-ffc2203ea2ae";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
"Complete Studio Albums 1970-1978";"NULL";"0B3iKYQdQ3M1WrSeWig1Ay";"5M52tdBnJaKSvOpJGz8mfZ";"2014"
"Cross Purposes";"5d2e8936-8c36-3ccd-8e8f-916e3b771d49";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
"Dehumanizer";"NULL";"2qyXLZvoWxsqb0ILGbyDNK";"5M52tdBnJaKSvOpJGz8mfZ";"1992"
"Dehumanizer";"080d8e28-9861-4b6c-a6b6-52c7b0d84118";"3lVMkEf9WrH2mSl5Kojtzy";"5M52tdBnJaKSvOpJGz8mfZ";"1992"
"Dehumanizer";"NULL";"3QCq4xwC3SZp38Y2cBsHdI";"5M52tdBnJaKSvOpJGz8mfZ";"1992"
"Dehumanizer (Remastered Edition)";"080d8e28-9861-4b6c-a6b6-52c7b0d84118";"3lVMkEf9WrH2mSl5Kojtzy";"5M52tdBnJaKSvOpJGz8mfZ";"1992"
"Forbidden";"e5ac81ac-8a7d-4100-8f61-d11257cf32dd";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
"Greatest Hits";"4d7125aa-0352-4b93-a769-7179c5bdd255";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
"Greatest Hits (2009 Remastered Version)";"NULL";"7H3jtFAyrMfFzri2xkWRc7";"5M52tdBnJaKSvOpJGz8mfZ";"2009"
"Headless Cross";"b7ad5ef4-4dd3-4e49-a9e7-e9a298d2f3c3";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
"Heaven & Hell";"NULL";"0Dj2B19o99FcJii6aPvMTr";"5M52tdBnJaKSvOpJGz8mfZ";"1980"
"Heaven & Hell (Deluxe Edition)";"NULL";"6SQi2QhRzKSOUHKbuzlqnt";"5M52tdBnJaKSvOpJGz8mfZ";"1980"
