"albumName";"trackNameTracks";"trackNameTracksMB";"trackSpotIDTracks";"trackSpotIDTracksMB";"trackMBIDTracks";"trackMBIDTracksMB";"albumSpotIDTracks";"albumSpotIDTracksMB";"albumMBIDTracks";"albumMBIDTracksMB"
"13";"Age Of Reason";"Age of Reason";"0BfFxZfRGcf6FOCpZ75tr0";"0BfFxZfRGcf6FOCpZ75tr0";"bbfa68c3-f300-40a9-ae10-e9af21d4d615";"bbfa68c3-f300-40a9-ae10-e9af21d4d615";"5WXL9YjbNd4GIqWc9mZOOq";"5WXL9YjbNd4GIqWc9mZOOq";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6"
"13";"Damaged Soul";"Damaged Soul";"1h32ZFrvUAGDkcHV0QNdCi";"1h32ZFrvUAGDkcHV0QNdCi";"af090702-043d-4189-8833-7957ac9842b6";"af090702-043d-4189-8833-7957ac9842b6";"5WXL9YjbNd4GIqWc9mZOOq";"4XQC97RRP7AmyF9mN4lav4";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6"
"13";"Dear Father";"Dear Father";"3l16FYFrCBC0vTgqvQaJJO";"3l16FYFrCBC0vTgqvQaJJO";"0944ec1c-c971-4212-83e8-d7033a803643";"0944ec1c-c971-4212-83e8-d7033a803643";"5WXL9YjbNd4GIqWc9mZOOq";"46fDgOnY2RavytWwL88x5M";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6"
"13";"End Of The Beginning";"End of the Beginning";"1J8DkChhDW5TyYmzRYEhLi";"1J8DkChhDW5TyYmzRYEhLi";"7dfd68dc-2d13-4294-a857-6e7c93c9c9be";"7dfd68dc-2d13-4294-a857-6e7c93c9c9be";"5WXL9YjbNd4GIqWc9mZOOq";"4XQC97RRP7AmyF9mN4lav4";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6"
"13";"God Is Dead?";"God Is Dead?";"3Fz8Mu0QzN6S7ZXDEDcFYv";"3Fz8Mu0QzN6S7ZXDEDcFYv";"6adf71c2-d070-454c-8936-0c667ea47ea0";"6adf71c2-d070-454c-8936-0c667ea47ea0";"5WXL9YjbNd4GIqWc9mZOOq";"46fDgOnY2RavytWwL88x5M";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6"
"13";"Live Forever";"Live Forever";"21t1bdwV3pEawdK9OhsauX";"21t1bdwV3pEawdK9OhsauX";"4c4b2797-a333-468a-9a6e-39c481559803";"4c4b2797-a333-468a-9a6e-39c481559803";"5WXL9YjbNd4GIqWc9mZOOq";"5WXL9YjbNd4GIqWc9mZOOq";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6"
"13";"Loner";"Loner";"1N8HVlOdTXICfovqEHsaQR";"1N8HVlOdTXICfovqEHsaQR";"3346ade3-15c6-4bcc-9d34-8da0275448c6";"3346ade3-15c6-4bcc-9d34-8da0275448c6";"5WXL9YjbNd4GIqWc9mZOOq";"4XQC97RRP7AmyF9mN4lav4";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6"
"13";"Zeitgeist";"Zeitgeist";"0WMFR87dhjaSOLxt0P18eA";"0WMFR87dhjaSOLxt0P18eA";"d0c84bc5-e18e-42dc-a36b-de9373dcd588";"d0c84bc5-e18e-42dc-a36b-de9373dcd588";"5WXL9YjbNd4GIqWc9mZOOq";"4XQC97RRP7AmyF9mN4lav4";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6";"7dbf4b1f-d3e9-47bc-9194-d15b31017bd6"
"Black Sabbath (Remastered Edition)";NULL;"Sleeping Village";NULL;NULL;"de2b4d2c-35c2-4999-8b2b-75b17cd5b0dc";NULL;"4ZLy3U2q17Yjw7jkjXPJQj";NULL;"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";NULL
"Black Sabbath (Remastered Edition)";NULL;"Behind the Wall of Sleep";NULL;NULL;"a463767c-3fb9-4336-9aaf-d4680c101e44";NULL;"4ZLy3U2q17Yjw7jkjXPJQj";NULL;"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";NULL
"Black Sabbath (Remastered Edition)";NULL;"Evil Woman (Donâ€™t Play Your Games With Me)";NULL;NULL;"647be9e2-f19b-465b-a562-147f5141b952";NULL;"4ZLy3U2q17Yjw7jkjXPJQj";NULL;"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";NULL
"Black Sabbath (Remastered Edition)";NULL;"Wicked World";NULL;NULL;"29fe8806-472c-4629-8945-cc670c0a2855";NULL;"4ZLy3U2q17Yjw7jkjXPJQj";NULL;"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";NULL
"Black Sabbath (Remastered Edition)";NULL;"The Wizard";NULL;NULL;"b6912b63-297b-4023-8ec9-0b3d8d2d31b3";NULL;"4ZLy3U2q17Yjw7jkjXPJQj";NULL;"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";NULL
"Black Sabbath (Remastered Edition)";NULL;"N.I.B.";NULL;NULL;"9940674c-7bb8-4de9-a5e8-9bd8f0d53897";NULL;"4ZLy3U2q17Yjw7jkjXPJQj";NULL;"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";NULL
"Black Sabbath (Remastered Edition)";NULL;"Black Sabbath";NULL;NULL;"533d5cbb-3ec6-4226-994b-844bc2173ac3";NULL;"4ZLy3U2q17Yjw7jkjXPJQj";NULL;"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";NULL
"Black Sabbath (Remastered Edition)";NULL;"Warning";NULL;NULL;"1177e328-8a85-401f-989d-d14e29bd6c1c";NULL;"4ZLy3U2q17Yjw7jkjXPJQj";NULL;"d4d6b8d9-413f-3aa6-9f4b-d51be1eb740c";NULL
"Dehumanizer (Remastered Edition)";NULL;"Too Late";NULL;NULL;"380363ed-9ce8-4682-92a2-c44e952247d3";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Dehumanizer (Remastered Edition)";NULL;"After All (The Dead)";NULL;NULL;"e46093fb-a8e4-4d05-831d-2953a06f8523";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Dehumanizer (Remastered Edition)";NULL;"Sins of the Father";NULL;NULL;"d32fd85b-9bcf-47d2-ad5a-9e88336cf6a3";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Dehumanizer (Remastered Edition)";NULL;"Master of Insanity";NULL;NULL;"c32cb3c8-5cf6-4877-b050-fab9bafd2a9e";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Dehumanizer (Remastered Edition)";NULL;"Letters From Earth";NULL;NULL;"5d84d139-2c25-4ad3-a623-eaa8dae1465f";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Dehumanizer (Remastered Edition)";NULL;"TV Crimes";NULL;NULL;"fe2763b1-332f-4281-b785-c2fb032a9d5b";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Dehumanizer (Remastered Edition)";NULL;"I";NULL;NULL;"31ef8b7a-e849-49c5-bb6c-778d71497e3b";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Dehumanizer (Remastered Edition)";NULL;"Time Machine";NULL;NULL;"d905147a-aa44-4e0a-8a3a-791c70669573";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Dehumanizer (Remastered Edition)";NULL;"Computer God";NULL;NULL;"c9331118-ce0a-41a1-b1f6-30235ed61b3e";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Dehumanizer (Remastered Edition)";NULL;"Buried Alive";NULL;NULL;"b41c91b3-c01b-4c37-b49e-8273e7514f38";NULL;"3lVMkEf9WrH2mSl5Kojtzy";NULL;"080d8e28-9861-4b6c-a6b6-52c7b0d84118";NULL
"Heaven and Hell (Remastered Edition)";NULL;"Wishing Well";NULL;NULL;"38537c60-775e-4a92-bfee-05a15795fb1c";NULL;"1Wk2g7TV0adbUZ53ruvIdL";NULL;"8bbe2647-0945-4581-bc33-576e487bd60b";NULL
"Heaven and Hell (Remastered Edition)";NULL;"Neon Knights";NULL;NULL;"0e8c9144-bd63-4cd6-9ed8-2d39690c0f87";NULL;"1Wk2g7TV0adbUZ53ruvIdL";NULL;"8bbe2647-0945-4581-bc33-576e487bd60b";NULL
"Heaven and Hell (Remastered Edition)";NULL;"Lonely Is the Word";NULL;NULL;"fdcfcf7e-97ee-4262-8995-d439acc23cd8";NULL;"1Wk2g7TV0adbUZ53ruvIdL";NULL;"8bbe2647-0945-4581-bc33-576e487bd60b";NULL
"Heaven and Hell (Remastered Edition)";NULL;"Heaven and Hell";NULL;NULL;"9ea011c9-d2ba-4e2a-adee-5ad2331f57e9";NULL;"1Wk2g7TV0adbUZ53ruvIdL";NULL;"8bbe2647-0945-4581-bc33-576e487bd60b";NULL
"Heaven and Hell (Remastered Edition)";NULL;"Lady Evil";NULL;NULL;"4325e6d2-8231-4ceb-ba22-3ff8bb5f5fa0";NULL;"1Wk2g7TV0adbUZ53ruvIdL";NULL;"8bbe2647-0945-4581-bc33-576e487bd60b";NULL
"Heaven and Hell (Remastered Edition)";NULL;"Walk Away";NULL;NULL;"1c7e6396-4e90-48fb-888a-87953be84fed";NULL;"1Wk2g7TV0adbUZ53ruvIdL";NULL;"8bbe2647-0945-4581-bc33-576e487bd60b";NULL
"Heaven and Hell (Remastered Edition)";NULL;"Die Young";NULL;NULL;"cbe61838-9184-4b59-bbde-862ca30682c5";NULL;"1Wk2g7TV0adbUZ53ruvIdL";NULL;"8bbe2647-0945-4581-bc33-576e487bd60b";NULL
